                                                      File1	                                                      File2	  Time1_JS	  Time2_JS	      Lon1	      Lat1	      Lon2	      Lat2	  U_vel_ms	  V_vel_ms	Speed_kmdy	  Bear_deg	 Maxcorr1	 Maxcorr2	 img1_mean	  img1_std	 img2_mean	  img2_std	img1s_mean	 img1s_std	 Per_Valid
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.66145	72.38018	-142.549	72.35317	0.04342	-0.03437	4.78469	128.35857	0.46567	0.55651	0.022709	0.012231	0.020251	0.0149737	0.0218152	0.0118962	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.70361	72.49274	-142.59117	72.46573	0.04316	-0.03437	4.76651	128.53174	0.57331	0.73722	0.0207932	0.0112564	0.0210262	0.0125326	0.019561	0.0108072	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.28192	72.39369	-142.15541	72.36217	0.04883	-0.0401	5.45954	129.3914	0.53411	0.57151	0.0225544	0.0117281	0.0238495	0.0140929	0.0225705	0.0118098	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.33815	72.50625	-142.21164	72.47923	0.04852	-0.03436	5.137	125.30887	0.60603	0.68274	0.0215576	0.010975	0.0240413	0.0117578	0.0210617	0.0109111	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.38033	72.6188	-142.23976	72.58729	0.05359	-0.04009	5.78206	126.79747	0.60125	0.70156	0.0204922	0.010278	0.0230737	0.0108122	0.0202014	0.0101499	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.43655	72.73136	-142.29597	72.69984	0.05326	-0.04009	5.75944	126.97067	0.61469	0.72037	0.0193881	0.0095513	0.0213087	0.0101209	0.018654	0.0092934	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.47871	72.84392	-142.33815	72.8124	0.05291	-0.04009	5.73552	127.15077	0.55679	0.5948	0.0187841	0.0091596	0.020198	0.0105892	0.0188161	0.0090612	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.53494	72.95197	-142.39438	72.92046	0.05259	-0.04009	5.71326	127.31773	0.49949	0.48698	0.0182951	0.008908	0.0179078	0.0112192	0.0183511	0.0087283	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.57712	73.06453	-142.40843	73.03301	0.06271	-0.04006	6.42956	122.571	0.3379	0.35606	0.0179704	0.0087593	0.0156487	0.0115995	0.0178311	0.0086725	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.87428	72.29464	-141.74777	72.26312	0.04909	-0.0401	5.47653	129.24049	0.36873	0.41873	0.0234817	0.0129681	0.0196481	0.0156538	0.0227749	0.0125423	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.91646	72.4072	-141.78995	72.37568	0.04879	-0.0401	5.45639	129.41342	0.59109	0.67525	0.0226856	0.0114982	0.0257679	0.0128119	0.0230106	0.0115066	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-141.95862	72.51975	-141.81805	72.48824	0.05389	-0.04008	5.80267	126.64313	0.57799	0.67708	0.0224671	0.0110561	0.0255005	0.0114622	0.0221496	0.0108742	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.01485	72.63231	-141.87428	72.60079	0.05354	-0.04009	5.77902	126.82239	0.64674	0.7389	0.0216418	0.0104236	0.0244645	0.0108331	0.0209787	0.0101728	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.05702	72.74487	-141.91646	72.71335	0.05321	-0.04009	5.75568	126.99413	0.62042	0.74571	0.0205943	0.0099108	0.0227723	0.0101159	0.0193974	0.0094595	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.09918	72.85742	-141.94456	72.82591	0.05817	-0.04006	6.10247	124.55733	0.5657	0.68928	0.0195585	0.0095946	0.0218633	0.0097354	0.0185525	0.0090507	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.15541	72.96999	-142.00079	72.93847	0.05778	-0.04008	6.07575	124.74403	0.59278	0.67197	0.0178453	0.0089102	0.0202929	0.0091513	0.0173285	0.0085902	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.19759	73.08254	-142.01485	73.04652	0.06788	-0.04578	7.07407	123.9966	0.50811	0.62301	0.0178592	0.0091291	0.0196375	0.0093108	0.0172612	0.0086615	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.23976	73.1906	-142.04297	73.15458	0.07265	-0.04576	7.41839	122.20758	0.56903	0.5821	0.0176479	0.0093435	0.0188804	0.0106023	0.0178051	0.0094818	99.034
RCM2_SHUB_2021_12_02_15_46_13_0691775173_135.10W_72.96N_HH_C	S1B_ESA_2021_12_03_16_00_57_0691862457_135.89W_73.60N_HH_C	691775173	691862457	-142.29597	73.30315	-142.09918	73.26714	0.07217	-0.04577	7.38388	122.37987	0.45935	0.48122	0.017217	0.0092997	0.0162569	0.0108272	0.0172811	0.0090651	99.034
